Using device: cpu
no-correction-ppp
Goal, Curr: (-0.78,  1.08), ( -1.40,  -0.60)   Error: 1.79
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.18,  0.75), ( -1.40,  -0.60)   Error: 1.37
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.83,  1.24), ( -1.40,  -0.60)   Error: 1.93
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:-0.00000 

episode:00800, mean:0.35, std:0.13, median:0.33, success:0.00
Goal, Curr: (-0.76,  1.20), ( -1.40,  -0.60)   Error: 1.91
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.16,  1.24), ( -1.40,  -0.60)   Error: 1.85
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:-0.00270 

Goal, Curr: (-1.21,  1.24), ( -1.40,  -0.60)   Error: 1.85
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.01046 

Goal, Curr: (-0.93,  1.16), ( -1.40,  -0.60)   Error: 1.82
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:-0.00000 

Goal, Curr: (-0.91,  0.85), ( -1.40,  -0.60)   Error: 1.53
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.00,  0.77), ( -1.40,  -0.60)   Error: 1.43
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:-0.00000 

Goal, Curr: (-0.95,  1.05), ( -1.40,  -0.60)   Error: 1.71
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.80,  0.82), ( -1.40,  -0.60)   Error: 1.54
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.82,  0.94), ( -1.40,  -0.60)   Error: 1.65
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.22,  1.24), ( -1.40,  -0.60)   Error: 1.85
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

episode:00900, mean:0.37, std:0.17, median:0.41, success:0.00
Goal, Curr: (-0.80,  0.87), ( -1.40,  -0.60)   Error: 1.59
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:-0.00000 

Goal, Curr: (-0.93,  1.19), ( -1.40,  -0.60)   Error: 1.86
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.09,  0.79), ( -1.40,  -0.60)   Error: 1.43
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.91,  0.83), ( -1.40,  -0.60)   Error: 1.52
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.96,  0.78), ( -1.40,  -0.60)   Error: 1.45
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.13,  1.00), ( -1.40,  -0.60)   Error: 1.62
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.83,  1.14), ( -1.40,  -0.60)   Error: 1.83
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.87,  1.04), ( -1.40,  -0.60)   Error: 1.73
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.82,  1.15), ( -1.40,  -0.60)   Error: 1.84
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.10,  0.87), ( -1.40,  -0.60)   Error: 1.50
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

episode:01000, mean:0.34, std:0.11, median:0.34, success:0.00
Goal, Curr: (-0.88,  1.17), ( -1.40,  -0.60)   Error: 1.85
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.79,  0.96), ( -1.40,  -0.60)   Error: 1.68
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.92,  1.22), ( -1.40,  -0.60)   Error: 1.88
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.79,  0.98), ( -1.40,  -0.60)   Error: 1.69
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.20,  0.93), ( -1.40,  -0.60)   Error: 1.55
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.99,  1.06), ( -1.40,  -0.60)   Error: 1.71
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.09,  1.20), ( -1.40,  -0.60)   Error: 1.83
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.02,  1.21), ( -1.40,  -0.60)   Error: 1.85
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.84,  0.84), ( -1.40,  -0.60)   Error: 1.55
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.95,  0.98), ( -1.40,  -0.60)   Error: 1.64
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

episode:01100, mean:0.32, std:0.19, median:0.26, success:0.00
Goal, Curr: (-1.13,  1.01), ( -1.40,  -0.60)   Error: 1.64
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.23,  0.77), ( -1.40,  -0.60)   Error: 1.38
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.96,  0.75), ( -1.40,  -0.60)   Error: 1.42
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.00,  0.76), ( -1.40,  -0.60)   Error: 1.42
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.12,  1.12), ( -1.40,  -0.60)   Error: 1.74
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.19,  0.96), ( -1.40,  -0.60)   Error: 1.57
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.98,  0.88), ( -1.40,  -0.60)   Error: 1.54
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.85,  0.76), ( -1.40,  -0.60)   Error: 1.47
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.02,  1.24), ( -1.40,  -0.60)   Error: 1.88
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.90,  1.05), ( -1.40,  -0.60)   Error: 1.73
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

episode:01200, mean:0.38, std:0.13, median:0.36, success:0.00
Goal, Curr: (-0.99,  1.23), ( -1.40,  -0.97)   Error: 2.24
Last SG, Last State: ( -3.40,   1.26), ( -1.40,  -0.85)  SG Improvement:-0.14582 

Goal, Curr: (-0.97,  1.15), ( -1.40,  -0.62)   Error: 1.82
Last SG, Last State: ( -3.40,   1.37), ( -1.40,  -0.60)  SG Improvement:0.00444 

Goal, Curr: (-1.14,  1.23), ( -1.40,  -0.95)   Error: 2.19
Last SG, Last State: ( -3.40,   1.28), ( -1.40,  -0.83)  SG Improvement:-0.15068 

Goal, Curr: (-1.11,  0.95), ( -1.40,  -0.66)   Error: 1.63
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.62)  SG Improvement:-0.20191 

Goal, Curr: (-0.95,  1.03), ( -1.40,  -0.65)   Error: 1.74
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.62)  SG Improvement:-0.06183 

Goal, Curr: (-0.87,  0.79), ( -1.40,  -1.00)   Error: 1.86
Last SG, Last State: ( -3.40,   1.16), ( -1.40,  -0.96)  SG Improvement:-0.08594 

Goal, Curr: (-0.88,  0.97), ( -1.40,  -0.95)   Error: 1.99
Last SG, Last State: ( -3.40,   1.04), ( -1.40,  -1.00)  SG Improvement:0.12771 

Goal, Curr: (-1.03,  0.88), ( -1.40,  -0.62)   Error: 1.54
Last SG, Last State: ( -3.40,   1.37), ( -1.40,  -0.60)  SG Improvement:0.00441 

Goal, Curr: (-1.24,  1.03), ( -1.40,  -0.94)   Error: 1.98
Last SG, Last State: ( -3.40,   1.28), ( -1.40,  -0.83)  SG Improvement:-0.14913 

Goal, Curr: (-1.01,  0.94), ( -1.40,  -0.96)   Error: 1.94
Last SG, Last State: ( -3.40,   1.27), ( -1.40,  -0.84)  SG Improvement:-0.14754 

episode:01300, mean:0.17, std:0.28, median:0.06, success:0.00
Goal, Curr: (-1.17,  1.24), ( -1.40,  -0.86)   Error: 2.11
Last SG, Last State: ( -3.40,   0.97), ( -1.40,  -0.95)  SG Improvement:-0.01648 

Goal, Curr: (-1.05,  1.20), ( -1.40,  -0.62)   Error: 1.85
Last SG, Last State: ( -3.40,   1.27), ( -1.40,  -0.60)  SG Improvement:-0.79529 

Goal, Curr: (-0.94,  1.03), ( -1.40,  -0.60)   Error: 1.69
Last SG, Last State: ( -3.40,   1.20), ( -1.40,  -0.68)  SG Improvement:0.29082 

Goal, Curr: (-0.84,  0.86), ( -1.40,  -0.60)   Error: 1.57
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.85,  0.85), ( -1.40,  -0.60)   Error: 1.55
Last SG, Last State: ( -3.40,   1.16), ( -1.40,  -0.74)  SG Improvement:-0.00423 

Goal, Curr: (-0.92,  0.77), ( -1.40,  -0.94)   Error: 1.77
Last SG, Last State: ( -3.40,   0.93), ( -1.40,  -1.01)  SG Improvement:0.14969 

Goal, Curr: (-1.07,  1.10), ( -1.40,  -0.60)   Error: 1.73
Last SG, Last State: ( -3.40,   1.15), ( -1.40,  -0.75)  SG Improvement:0.08264 

Goal, Curr: (-0.77,  0.93), ( -1.40,  -0.61)   Error: 1.66
Last SG, Last State: ( -3.40,   1.38), ( -1.40,  -0.60)  SG Improvement:-1.07119 

Goal, Curr: (-1.23,  1.21), ( -1.40,  -0.74)   Error: 1.96
Last SG, Last State: ( -3.40,   1.06), ( -1.40,  -0.84)  SG Improvement:0.25815 

Goal, Curr: (-1.15,  0.85), ( -1.40,  -0.85)   Error: 1.71
Last SG, Last State: ( -3.40,   0.98), ( -1.40,  -0.94)  SG Improvement:-0.00371 

episode:01400, mean:0.25, std:0.10, median:0.23, success:0.00
Goal, Curr: (-0.94,  1.00), ( -1.40,  -0.77)   Error: 1.82
Last SG, Last State: ( -3.40,   1.28), ( -1.40,  -0.74)  SG Improvement:-0.01656 

Goal, Curr: (-1.10,  1.15), ( -1.40,  -0.74)   Error: 1.91
Last SG, Last State: ( -3.40,   1.30), ( -1.40,  -0.72)  SG Improvement:-0.01717 

Goal, Curr: (-0.91,  1.00), ( -1.40,  -0.92)   Error: 1.98
Last SG, Last State: ( -3.40,   1.19), ( -1.40,  -0.86)  SG Improvement:-0.09384 

Goal, Curr: (-0.97,  1.04), ( -1.40,  -0.68)   Error: 1.77
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.63)  SG Improvement:-0.10674 

Goal, Curr: (-0.95,  1.02), ( -1.40,  -0.60)   Error: 1.69
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.23,  0.95), ( -1.40,  -0.75)   Error: 1.71
Last SG, Last State: ( -3.40,   1.29), ( -1.40,  -0.73)  SG Improvement:-0.08248 

Goal, Curr: (-1.17,  0.92), ( -1.40,  -0.62)   Error: 1.56
Last SG, Last State: ( -3.40,   1.33), ( -1.40,  -0.60)  SG Improvement:-0.80198 

Goal, Curr: (-0.76,  1.18), ( -1.40,  -0.60)   Error: 1.89
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00010 

Goal, Curr: (-1.13,  1.13), ( -1.40,  -0.73)   Error: 1.88
Last SG, Last State: ( -3.40,   1.31), ( -1.40,  -0.71)  SG Improvement:-0.00801 

Goal, Curr: (-1.01,  1.04), ( -1.40,  -0.73)   Error: 1.81
