Using device: cpu
no-correct-per-very-small-low-and-high
Initializing with critic LR:  0.0005  actor LR:  1e-05
Initializing with critic LR:  0.0001  actor LR:  5e-05
Last SG, Last State: ( -1.40,  -0.42), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.96,  0.91), ( -1.40,  -0.60)   Error: 1.58
Last SG, Last State: ( -1.41,  -0.44), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.09,  1.00), ( -1.40,  -0.60)   Error: 1.63
Last SG, Last State: ( -1.40,  -0.43), ( -1.40,  -0.60)  SG Improvement:-0.00000 

Goal, Curr: (-1.18,  1.20), ( -1.40,  -0.60)   Error: 1.81
Last SG, Last State: ( -1.40,  -0.42), ( -1.40,  -0.60)  SG Improvement:0.00000 

episode:00100, mean:5.44, std:0.48, median:5.47, success:0.00
Goal, Curr: (-0.77,  0.87), ( -1.40,  -0.60)   Error: 1.60
Last SG, Last State: ( -1.43,  -0.73), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.08,  0.93), ( -1.40,  -0.60)   Error: 1.57
Last SG, Last State: ( -1.51,  -0.77), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.05,  0.79), ( -1.40,  -0.60)   Error: 1.43
Last SG, Last State: ( -1.47,  -0.75), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.06,  1.00), ( -1.40,  -0.60)   Error: 1.63
Last SG, Last State: ( -1.53,  -0.78), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.76,  0.98), ( -1.40,  -0.60)   Error: 1.71
Last SG, Last State: ( -1.45,  -0.74), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.81,  0.98), ( -1.40,  -0.60)   Error: 1.68
Last SG, Last State: ( -1.46,  -0.74), ( -1.40,  -0.60)  SG Improvement:-0.00000 

