Using device: cpu
gc-4.0-kkk-high-expl
Log radii:  [ 1.3862944   1.3862944   1.3862944   1.3862944   1.0589488  -0.10214078]
Adjusted log radii:  [ 1.37629437  1.97629428  1.37629437  1.37629437  1.64894867 -0.11214078]
Goal, Curr: (-1.22,  1.22), ( -1.40,  -1.14)   Error: 2.37
Last SG, Last State: (  0.60,   0.88), ( -1.40,  -1.13)  SG Improvement:-0.00040 

Goal, Curr: (-0.80,  0.91), ( -1.40,  -1.40)   Error: 2.39
Last SG, Last State: (  0.60,   0.60), ( -1.40,  -1.40)  SG Improvement:0.00020 

Goal, Curr: (-0.82,  0.94), ( -1.40,  -1.40)   Error: 2.41
Last SG, Last State: (  0.60,   0.61), ( -1.40,  -1.40)  SG Improvement:-0.03731 

Goal, Curr: (-0.93,  0.87), ( -1.40,  -0.60)   Error: 1.55
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00579 

Goal, Curr: (-0.86,  0.78), ( -1.40,  -0.60)   Error: 1.48
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.01431 

Goal, Curr: (-1.14,  0.97), ( -1.40,  -0.60)   Error: 1.59
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00579 

Goal, Curr: (-0.99,  1.11), ( -1.40,  -1.40)   Error: 2.54
Last SG, Last State: (  0.60,   0.60), ( -1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-0.94,  1.17), ( -1.40,  -1.26)   Error: 2.47
Last SG, Last State: (  0.60,   0.76), ( -1.40,  -1.25)  SG Improvement:-0.00055 

Goal, Curr: (-1.01,  0.76), ( -1.40,  -1.26)   Error: 2.05
Last SG, Last State: (  0.60,   0.76), ( -1.40,  -1.25)  SG Improvement:-0.00055 

Goal, Curr: (-1.06,  0.93), ( -1.40,  -0.70)   Error: 1.67
Last SG, Last State: (  0.60,   1.33), ( -1.40,  -0.69)  SG Improvement:-0.00062 

episode:00600, mean:-0.07, std:0.28, median:-0.22, success:0.00
Goal, Curr: (-0.89,  0.81), ( -1.40,  -0.60)   Error: 1.50
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:-0.02319 

Goal, Curr: (-1.19,  1.06), ( -1.40,  -0.60)   Error: 1.67
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:-0.01698 

Goal, Curr: (-1.17,  0.95), ( -1.40,  -0.60)   Error: 1.58
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.01897 

Goal, Curr: (-1.07,  0.78), ( -1.40,  -0.60)   Error: 1.42
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:-0.01901 

Goal, Curr: (-1.20,  1.03), ( -1.40,  -0.60)   Error: 1.64
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.01897 

Goal, Curr: (-0.83,  0.85), ( -1.40,  -0.60)   Error: 1.56
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:-0.02167 

Goal, Curr: (-1.00,  0.97), ( -1.40,  -1.03)   Error: 2.04
Last SG, Last State: (  0.60,   0.99), ( -1.40,  -1.02)  SG Improvement:-0.00053 

Goal, Curr: (-1.18,  0.78), ( -1.40,  -0.60)   Error: 1.39
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:-0.01903 

Goal, Curr: (-1.22,  0.91), ( -1.40,  -0.60)   Error: 1.52
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.01723 

Goal, Curr: (-1.20,  1.21), ( -1.40,  -0.60)   Error: 1.83
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:-0.01816 

episode:00700, mean:0.29, std:0.20, median:0.33, success:0.00
Goal, Curr: (-0.87,  1.24), ( -1.40,  -1.40)   Error: 2.70
Last SG, Last State: (  0.60,   0.60), ( -1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-0.81,  0.82), ( -1.40,  -1.40)   Error: 2.30
Last SG, Last State: (  0.60,   0.60), ( -1.40,  -1.40)  SG Improvement:-0.00000 

Goal, Curr: (-0.95,  0.97), ( -1.40,  -1.16)   Error: 2.17
Last SG, Last State: (  0.60,   0.87), ( -1.40,  -1.15)  SG Improvement:-0.00055 

Goal, Curr: (-0.79,  0.80), ( -1.40,  -1.40)   Error: 2.28
Last SG, Last State: (  0.60,   0.60), ( -1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-1.00,  0.79), ( -1.40,  -1.40)   Error: 2.23
Last SG, Last State: (  0.60,   0.60), ( -1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-0.93,  0.88), ( -1.40,  -1.31)   Error: 2.23
Last SG, Last State: (  0.60,   0.72), ( -1.40,  -1.29)  SG Improvement:-0.00056 

Goal, Curr: (-1.02,  1.23), ( -1.40,  -1.40)   Error: 2.65
Last SG, Last State: (  0.60,   0.60), ( -1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-1.15,  1.17), ( -1.40,  -1.35)   Error: 2.53
Last SG, Last State: (  0.60,   0.68), ( -1.40,  -1.33)  SG Improvement:-0.00054 

Goal, Curr: (-0.81,  0.81), ( -1.40,  -1.40)   Error: 2.28
Last SG, Last State: (  0.60,   0.60), ( -1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-1.12,  1.20), ( -1.40,  -1.40)   Error: 2.62
Last SG, Last State: (  0.60,   0.60), ( -1.40,  -1.40)  SG Improvement:-0.00255 

episode:00800, mean:-0.43, std:0.11, median:-0.41, success:0.00
Goal, Curr: (-0.88,  1.23), ( -1.40,  -1.21)   Error: 2.51
Last SG, Last State: (  0.60,   0.79), ( -1.40,  -1.21)  SG Improvement:-0.00012 

Goal, Curr: (-1.21,  0.81), ( -1.40,  -1.24)   Error: 2.06
Last SG, Last State: (  0.60,   0.77), ( -1.40,  -1.24)  SG Improvement:-0.00010 

Goal, Curr: (-1.13,  1.17), ( -1.40,  -1.31)   Error: 2.50
Last SG, Last State: (  0.60,   0.69), ( -1.40,  -1.31)  SG Improvement:-0.00005 

Goal, Curr: (-1.14,  1.10), ( -1.40,  -1.15)   Error: 2.26
Last SG, Last State: (  0.60,   0.87), ( -1.40,  -1.14)  SG Improvement:-0.00038 

Goal, Curr: (-1.08,  0.81), ( -1.40,  -1.29)   Error: 2.13
Last SG, Last State: (  0.60,   0.71), ( -1.40,  -1.29)  SG Improvement:-0.00007 

Goal, Curr: (-0.95,  1.18), ( -1.40,  -1.10)   Error: 2.33
Last SG, Last State: (  0.60,   0.92), ( -1.40,  -1.09)  SG Improvement:-0.00041 

Goal, Curr: (-0.89,  1.22), ( -1.40,  -1.20)   Error: 2.47
Last SG, Last State: (  0.60,   0.80), ( -1.40,  -1.20)  SG Improvement:-0.00013 

Goal, Curr: (-1.18,  0.78), ( -1.40,  -0.99)   Error: 1.78
Last SG, Last State: (  0.60,   1.03), ( -1.40,  -0.98)  SG Improvement:-0.00034 

Goal, Curr: (-1.00,  0.77), ( -1.40,  -1.23)   Error: 2.04
Last SG, Last State: (  0.60,   0.78), ( -1.40,  -1.23)  SG Improvement:-0.00011 

Goal, Curr: (-1.12,  0.95), ( -1.40,  -1.40)   Error: 2.36
Last SG, Last State: (  0.60,   0.60), ( -1.40,  -1.40)  SG Improvement:-0.01725 

episode:00900, mean:-0.23, std:0.07, median:-0.25, success:0.00
Goal, Curr: (-0.91,  1.16), ( -1.40,  -0.60)   Error: 1.82
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:-0.00000 

Goal, Curr: (-0.81,  0.90), ( -1.40,  -0.60)   Error: 1.61
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.96,  1.20), ( -1.40,  -0.60)   Error: 1.85
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.15,  1.14), ( -1.40,  -0.60)   Error: 1.76
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.06,  1.02), ( -1.40,  -0.60)   Error: 1.65
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.20,  0.79), ( -1.40,  -0.60)   Error: 1.40
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.10,  1.13), ( -1.40,  -0.60)   Error: 1.75
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.93,  0.89), ( -1.40,  -0.60)   Error: 1.57
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.13,  0.81), ( -1.40,  -0.60)   Error: 1.43
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:-0.00000 

Goal, Curr: (-1.02,  0.77), ( -1.40,  -0.60)   Error: 1.42
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

episode:01000, mean:0.34, std:0.09, median:0.35, success:0.00
Goal, Curr: (-0.89,  1.17), ( -1.40,  -0.60)   Error: 1.85
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.17,  1.12), ( -1.40,  -0.60)   Error: 1.73
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.91,  0.76), ( -1.40,  -0.60)   Error: 1.45
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.91,  1.11), ( -1.40,  -0.60)   Error: 1.78
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.83,  0.77), ( -1.40,  -0.60)   Error: 1.49
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.19,  1.13), ( -1.40,  -0.60)   Error: 1.74
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.96,  1.15), ( -1.40,  -0.60)   Error: 1.81
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.84,  0.92), ( -1.40,  -0.60)   Error: 1.62
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.15,  0.95), ( -1.40,  -0.60)   Error: 1.57
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.06,  0.82), ( -1.40,  -0.60)   Error: 1.46
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

episode:01100, mean:0.24, std:0.10, median:0.24, success:0.00
Goal, Curr: (-0.76,  1.03), ( -1.40,  -0.60)   Error: 1.75
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:-0.00180 

Goal, Curr: (-0.85,  1.08), ( -1.40,  -0.60)   Error: 1.77
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:-0.00185 

Goal, Curr: (-0.87,  1.19), ( -1.40,  -0.60)   Error: 1.86
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.94,  0.83), ( -1.40,  -0.60)   Error: 1.50
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00177 

Goal, Curr: (-0.89,  1.04), ( -1.40,  -0.60)   Error: 1.72
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.06,  1.06), ( -1.40,  -0.60)   Error: 1.69
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.99,  1.03), ( -1.40,  -0.60)   Error: 1.68
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.81,  1.09), ( -1.40,  -0.60)   Error: 1.79
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:-0.00180 

Goal, Curr: (-1.02,  1.08), ( -1.40,  -0.60)   Error: 1.72
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.88,  1.18), ( -1.40,  -0.60)   Error: 1.85
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

episode:01200, mean:0.26, std:0.14, median:0.22, success:0.00
Goal, Curr: (-1.14,  0.97), ( -1.40,  -0.60)   Error: 1.60
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.95,  1.05), ( -1.40,  -0.60)   Error: 1.71
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.91,  0.86), ( -1.40,  -0.60)   Error: 1.54
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.07,  0.92), ( -1.40,  -0.60)   Error: 1.55
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.95,  1.21), ( -1.40,  -0.60)   Error: 1.86
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.11,  1.01), ( -1.40,  -0.60)   Error: 1.63
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.22,  0.91), ( -1.40,  -0.60)   Error: 1.52
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.92,  0.90), ( -1.40,  -0.60)   Error: 1.58
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.91,  1.15), ( -1.40,  -0.60)   Error: 1.82
