Using device: cpu
no-correct-actual-per-ridiculously-slow
Initializing with critic LR:  5e-05  actor LR:  1e-08
Initializing with critic LR:  1e-07  actor LR:  5e-08
Goal, Curr: (-1.15,  1.06), ( -0.88,  -1.00)   Error: 2.07
Last SG, Last State: ( -0.88,  -1.00), ( -0.88,  -1.00)  SG Improvement:-0.01053 

Goal, Curr: (-1.19,  0.95), ( -1.21,  -0.94)   Error: 1.89
Last SG, Last State: ( -1.23,  -0.94), ( -1.22,  -0.94)  SG Improvement:-0.02121 

Goal, Curr: (-0.99,  1.24), ( -1.04,  -0.93)   Error: 2.18
Last SG, Last State: ( -1.05,  -0.93), ( -1.04,  -0.93)  SG Improvement:-0.00025 

Goal, Curr: (-0.93,  0.75), ( -1.08,  -0.82)   Error: 1.58
Last SG, Last State: ( -1.08,  -0.82), ( -1.08,  -0.82)  SG Improvement:-0.00255 

Goal, Curr: (-1.00,  0.90), ( -0.99,  -0.92)   Error: 1.82
Last SG, Last State: ( -0.99,  -0.92), ( -0.99,  -0.92)  SG Improvement:-0.00383 

Goal, Curr: (-1.09,  1.19), ( -1.07,  -0.97)   Error: 2.16
Last SG, Last State: ( -1.08,  -0.97), ( -1.08,  -0.97)  SG Improvement:-0.00716 

Goal, Curr: (-1.12,  0.87), ( -0.85,  -1.19)   Error: 2.08
Last SG, Last State: ( -0.85,  -1.19), ( -0.85,  -1.19)  SG Improvement:-0.00036 

Goal, Curr: (-1.05,  1.24), ( -0.78,  -1.10)   Error: 2.35
Last SG, Last State: ( -0.79,  -1.10), ( -0.78,  -1.10)  SG Improvement:-0.01232 

Goal, Curr: (-1.21,  0.83), ( -0.99,  -0.95)   Error: 1.79
Last SG, Last State: ( -0.99,  -0.95), ( -0.99,  -0.95)  SG Improvement:-0.00117 

Goal, Curr: (-0.78,  0.89), ( -1.00,  -1.04)   Error: 1.94
Last SG, Last State: ( -1.01,  -1.04), ( -1.00,  -1.04)  SG Improvement:-0.00498 

Goal, Curr: (-1.24,  1.10), ( -1.21,  -0.77)   Error: 1.86
Last SG, Last State: ( -1.22,  -0.77), ( -1.22,  -0.77)  SG Improvement:-0.00370 

Goal, Curr: (-0.94,  0.80), ( -1.13,  -0.93)   Error: 1.74
