Using device: cpu
no-correction-finw
Last SG, Last State: ( -1.52,  -3.40), (  0.48,  -1.40)  SG Improvement:-0.00400 

Goal, Curr: (-1.13,  1.08), (  1.40,  -1.40)   Error: 3.54
Last SG, Last State: ( -0.60,  -3.40), (  1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-0.86,  1.22), (  1.40,  -1.40)   Error: 3.46
Last SG, Last State: ( -0.60,  -3.40), (  1.40,  -1.40)  SG Improvement:-0.03071 

Goal, Curr: (-1.20,  1.16), (  0.48,  -1.40)   Error: 3.06
Last SG, Last State: ( -1.52,  -3.40), (  0.48,  -1.40)  SG Improvement:-0.00401 

Goal, Curr: (-1.16,  1.19), (  1.40,  -1.40)   Error: 3.64
Last SG, Last State: ( -0.60,  -3.40), (  1.40,  -1.40)  SG Improvement:-0.03070 

Goal, Curr: (-1.17,  0.84), (  0.48,  -1.40)   Error: 2.78
Last SG, Last State: ( -1.52,  -3.40), (  0.48,  -1.40)  SG Improvement:-0.00429 

Goal, Curr: (-0.81,  1.05), (  1.40,  -1.40)   Error: 3.29
Last SG, Last State: ( -0.60,  -3.40), (  1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-0.77,  0.79), (  0.49,  -1.40)   Error: 2.52
Last SG, Last State: ( -1.52,  -3.40), (  0.48,  -1.40)  SG Improvement:-0.00362 

Goal, Curr: (-0.84,  0.79), (  0.48,  -1.40)   Error: 2.56
Last SG, Last State: ( -1.53,  -3.40), (  0.48,  -1.40)  SG Improvement:-0.00478 

Goal, Curr: (-1.23,  1.02), (  1.40,  -1.40)   Error: 3.57
Last SG, Last State: ( -0.60,  -3.40), (  1.40,  -1.40)  SG Improvement:0.09309 

Goal, Curr: (-1.22,  1.02), (  1.40,  -1.40)   Error: 3.56
Last SG, Last State: ( -0.60,  -3.40), (  1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-1.23,  1.11), (  0.49,  -1.40)   Error: 3.04
Last SG, Last State: ( -1.52,  -3.40), (  0.48,  -1.40)  SG Improvement:-0.00360 

Goal, Curr: (-0.80,  0.84), (  1.40,  -1.40)   Error: 3.14
Last SG, Last State: ( -0.60,  -3.40), (  1.40,  -1.40)  SG Improvement:-0.00000 

Goal, Curr: (-1.22,  1.12), (  1.40,  -1.40)   Error: 3.63
Last SG, Last State: ( -0.60,  -3.40), (  1.40,  -1.40)  SG Improvement:-0.00000 

Goal, Curr: (-1.24,  1.13), (  0.48,  -1.40)   Error: 3.06
Last SG, Last State: ( -1.53,  -3.40), (  0.48,  -1.40)  SG Improvement:-0.00450 

Goal, Curr: (-1.11,  0.90), (  1.40,  -1.40)   Error: 3.40
