Using device: cpu
tamer-critic-gc-4.0-0.5-expl
Log radii:  [ 1.3862944  1.3862944 -0.9777797  1.3862944  1.3862944  1.3862944]
Adjusted log radii:  [1.37629437 1.67629433 1.71222043 2.27629423 1.37629437 1.67629433]
Last SG, Last State: (  0.59,  -3.40), ( -1.40,  -1.40)  SG Improvement:-0.03156 

Goal, Curr: (-0.98,  1.05), ( -1.40,  -1.40)   Error: 2.48
Last SG, Last State: (  0.58,  -3.40), ( -1.40,  -1.40)  SG Improvement:-0.02566 

Goal, Curr: (-1.12,  1.00), ( -1.40,  -1.40)   Error: 2.41
Last SG, Last State: (  0.59,  -3.40), ( -1.40,  -1.40)  SG Improvement:-0.01660 

Goal, Curr: (-0.79,  1.04), ( -1.39,  -1.40)   Error: 2.51
Last SG, Last State: (  0.58,  -3.40), ( -1.40,  -1.40)  SG Improvement:0.20785 

Goal, Curr: (-1.08,  1.23), ( -1.40,  -1.40)   Error: 2.64
Last SG, Last State: (  0.59,  -3.40), ( -1.40,  -1.40)  SG Improvement:-0.02859 

episode:00700, mean:-0.38, std:0.11, median:-0.42, success:0.00
Log radii:  [ 1.3862944 -1.3862944 -1.3067116 -1.3490909  1.3862944 -1.0867305]
Adjusted log radii:  [ 1.67629433  1.60370564  1.98328853  2.2409091   1.37629437 -0.49673045]
Goal, Curr: (-0.90,  1.17), ( -1.40,  -0.60)   Error: 1.84
Last SG, Last State: ( -3.40,  -1.30), ( -1.40,  -0.68)  SG Improvement:0.00235 

Goal, Curr: (-1.25,  0.79), ( -1.40,  -0.60)   Error: 1.39
Last SG, Last State: ( -3.40,  -0.10), ( -1.40,  -0.60)  SG Improvement:-0.15773 

Goal, Curr: (-1.17,  0.90), ( -1.40,  -0.60)   Error: 1.51
Last SG, Last State: ( -3.40,  -1.12), ( -1.40,  -0.60)  SG Improvement:0.09994 

Goal, Curr: (-1.13,  1.16), ( -1.40,  -0.67)   Error: 1.85
Last SG, Last State: ( -3.40,   0.32), ( -1.39,  -0.66)  SG Improvement:0.40916 

Goal, Curr: (-1.04,  1.18), ( -1.40,  -0.60)   Error: 1.81
Last SG, Last State: ( -3.34,  -1.29), ( -1.40,  -0.67)  SG Improvement:0.19353 

Goal, Curr: (-0.79,  0.79), ( -1.40,  -0.60)   Error: 1.52
Last SG, Last State: ( -3.40,  -1.06), ( -1.40,  -0.60)  SG Improvement:-0.02347 

Goal, Curr: (-1.10,  1.24), ( -1.40,  -0.69)   Error: 1.95
Last SG, Last State: ( -3.40,  -1.58), ( -1.40,  -0.78)  SG Improvement:-0.00679 

Goal, Curr: (-0.79,  0.78), ( -1.40,  -0.99)   Error: 1.87
Last SG, Last State: ( -3.23,  -1.20), ( -1.37,  -1.02)  SG Improvement:0.23639 

Goal, Curr: (-1.03,  1.10), ( -1.40,  -0.64)   Error: 1.78
Last SG, Last State: ( -3.40,  -0.32), ( -1.40,  -0.60)  SG Improvement:-0.11404 

Goal, Curr: (-0.87,  0.85), ( -1.40,  -0.63)   Error: 1.58
Last SG, Last State: ( -3.40,  -1.43), ( -1.40,  -0.71)  SG Improvement:0.00227 

episode:00800, mean:0.30, std:0.12, median:0.30, success:0.00
Log radii:  [ 1.3862944  1.3297137 -1.3862944 -1.0110606 -0.2504955  1.3862944]
Adjusted log radii:  [ 1.67629433  1.61971378 -0.49629438  1.67893934  0.03950452  1.37629437]
Log radii:  [ 1.3399215  1.2731782 -1.3862944 -1.3862944 -1.3862944  0.9851512]
Adjusted log radii:  [1.32992148 1.26317823 1.60370564 1.30370569 1.00370574 0.97515118]
Goal, Curr: (-1.22,  1.17), ( -1.40,  -0.65)   Error: 1.83
Last SG, Last State: ( -3.40,  -2.42), ( -1.40,  -0.60)  SG Improvement:-0.17005 

Goal, Curr: (-1.20,  0.93), ( -1.40,  -0.60)   Error: 1.55
Last SG, Last State: ( -3.41,  -2.66), ( -1.40,  -0.62)  SG Improvement:-0.03228 

Goal, Curr: (-0.80,  0.80), ( -1.40,  -0.60)   Error: 1.53
Last SG, Last State: ( -3.40,  -2.36), ( -1.40,  -0.64)  SG Improvement:0.02639 

Goal, Curr: (-1.06,  0.97), ( -1.40,  -0.64)   Error: 1.64
Last SG, Last State: ( -3.40,  -2.43), ( -1.40,  -0.60)  SG Improvement:-0.20882 

Goal, Curr: (-0.92,  0.81), ( -1.40,  -0.60)   Error: 1.49
Last SG, Last State: ( -3.40,  -2.35), ( -1.40,  -0.66)  SG Improvement:0.01889 

Goal, Curr: (-1.21,  1.07), ( -1.40,  -0.60)   Error: 1.68
Last SG, Last State: ( -3.40,  -2.38), ( -1.40,  -0.65)  SG Improvement:0.14279 

Goal, Curr: (-1.08,  0.94), ( -1.40,  -0.64)   Error: 1.61
Last SG, Last State: ( -3.40,  -2.34), ( -1.40,  -0.60)  SG Improvement:-0.21705 

Goal, Curr: (-0.80,  1.20), ( -1.40,  -0.60)   Error: 1.90
