Using device: cpu
base-hiro-very-slow
Initializing with critic LR:  5e-05  actor LR:  1e-08
Initializing with critic LR:  1e-07  actor LR:  5e-08
Last SG, Last State: ( -0.76,  -0.60), ( -0.60,  -0.60)  SG Improvement:-0.17539 

Goal, Curr: (-0.80,  1.08), ( -0.31,  -0.60)   Error: 1.75
Last SG, Last State: ( -0.63,  -0.60), ( -0.47,  -0.60)  SG Improvement:-0.18103 

Goal, Curr: (-0.93,  1.17), ( -0.32,  -0.60)   Error: 1.87
Last SG, Last State: ( -0.64,  -0.60), ( -0.48,  -0.60)  SG Improvement:-0.17518 

Goal, Curr: (-0.83,  1.12), ( -0.44,  -0.60)   Error: 1.76
Last SG, Last State: ( -0.74,  -0.60), ( -0.59,  -0.60)  SG Improvement:-0.17536 

Goal, Curr: (-1.07,  0.77), ( -0.34,  -0.60)   Error: 1.55
Last SG, Last State: ( -0.66,  -0.60), ( -0.50,  -0.60)  SG Improvement:-0.17255 

Goal, Curr: (-0.86,  1.07), ( -0.32,  -0.60)   Error: 1.75
Last SG, Last State: ( -0.64,  -0.60), ( -0.48,  -0.60)  SG Improvement:-0.17709 

Goal, Curr: (-0.87,  1.05), ( -0.37,  -0.60)   Error: 1.73
Last SG, Last State: ( -0.68,  -0.60), ( -0.53,  -0.60)  SG Improvement:-0.17347 

Goal, Curr: (-0.86,  0.83), ( -0.32,  -0.60)   Error: 1.53
Last SG, Last State: ( -0.63,  -0.60), ( -0.48,  -0.59)  SG Improvement:-1.24827 

Goal, Curr: (-0.92,  0.97), ( -0.31,  -0.60)   Error: 1.69
Last SG, Last State: ( -0.63,  -0.60), ( -0.47,  -0.60)  SG Improvement:-0.18233 

Goal, Curr: (-1.23,  0.98), ( -0.32,  -0.60)   Error: 1.82
Last SG, Last State: ( -0.63,  -0.60), ( -0.48,  -0.59)  SG Improvement:-1.24739 

Goal, Curr: (-0.93,  1.24), ( -0.37,  -0.60)   Error: 1.93
Last SG, Last State: ( -0.69,  -0.60), ( -0.53,  -0.60)  SG Improvement:-0.17355 

Goal, Curr: (-1.21,  0.96), ( -0.29,  -0.60)   Error: 1.81
Last SG, Last State: ( -0.61,  -0.60), ( -0.45,  -0.60)  SG Improvement:-0.17143 

Goal, Curr: (-1.11,  0.91), ( -0.44,  -0.60)   Error: 1.65
Last SG, Last State: ( -0.75,  -0.60), ( -0.60,  -0.60)  SG Improvement:-0.17521 

episode:00200, mean:5.46, std:0.60, median:5.51, success:0.00
Goal, Curr: (-1.20,  0.99), ( -0.84,  -0.60)   Error: 1.63
Last SG, Last State: ( -1.11,  -0.60), ( -0.99,  -0.60)  SG Improvement:-0.34480 

Goal, Curr: (-0.79,  1.18), ( -1.01,  -0.60)   Error: 1.79
Last SG, Last State: ( -1.20,  -0.60), ( -1.11,  -0.60)  SG Improvement:-0.24570 

Goal, Curr: (-0.88,  0.86), ( -0.87,  -0.60)   Error: 1.46
Last SG, Last State: ( -1.13,  -0.60), ( -1.02,  -0.60)  SG Improvement:-0.32613 

Goal, Curr: (-0.96,  0.94), ( -0.73,  -0.60)   Error: 1.56
Last SG, Last State: ( -1.05,  -0.60), ( -0.91,  -0.60)  SG Improvement:-0.40979 

Goal, Curr: (-1.02,  0.77), ( -0.23,  -0.60)   Error: 1.58
Last SG, Last State: ( -0.62,  -0.60), ( -0.43,  -0.60)  SG Improvement:-0.24122 

Goal, Curr: (-0.87,  1.15), ( -0.65,  -0.60)   Error: 1.77
Last SG, Last State: ( -0.99,  -0.60), ( -0.84,  -0.60)  SG Improvement:-0.45616 

Goal, Curr: (-1.13,  1.18), ( -1.03,  -0.60)   Error: 1.79
Last SG, Last State: ( -1.21,  -0.60), ( -1.13,  -0.60)  SG Improvement:-0.23700 

Goal, Curr: (-1.05,  0.82), ( -0.51,  -0.60)   Error: 1.52
Last SG, Last State: ( -0.88,  -0.60), ( -0.70,  -0.60)  SG Improvement:-0.26580 

Goal, Curr: (-1.09,  0.83), (  0.03,  -0.60)   Error: 1.82
Last SG, Last State: ( -0.37,  -0.60), ( -0.17,  -0.60)  SG Improvement:-0.21873 

Goal, Curr: (-0.89,  0.87), ( -0.57,  -0.60)   Error: 1.51
Last SG, Last State: ( -0.93,  -0.60), ( -0.76,  -0.60)  SG Improvement:-0.34379 

Goal, Curr: (-1.04,  1.13), ( -0.84,  -0.60)   Error: 1.75
Last SG, Last State: ( -1.11,  -0.60), ( -0.99,  -0.60)  SG Improvement:-0.34162 

Goal, Curr: (-1.11,  1.22), ( -0.76,  -0.60)   Error: 1.85
Last SG, Last State: ( -1.06,  -0.60), ( -0.93,  -0.60)  SG Improvement:-0.38680 

Goal, Curr: (-1.14,  0.98), ( -0.05,  -0.60)   Error: 1.92
Last SG, Last State: ( -0.45,  -0.59), ( -0.25,  -0.60)  SG Improvement:-0.25072 

Goal, Curr: (-1.23,  0.87), ( -1.09,  -0.60)   Error: 1.48
Last SG, Last State: ( -1.24,  -0.60), ( -1.17,  -0.60)  SG Improvement:-0.20735 

Goal, Curr: (-0.87,  1.17), ( -0.09,  -0.60)   Error: 1.94
Last SG, Last State: ( -0.48,  -0.60), ( -0.28,  -0.60)  SG Improvement:-0.21890 

Goal, Curr: (-1.01,  1.19), ( -0.79,  -0.60)   Error: 1.80
Last SG, Last State: ( -1.08,  -0.60), ( -0.95,  -0.60)  SG Improvement:-0.37094 

Goal, Curr: (-1.08,  1.23), ( -0.72,  -0.60)   Error: 1.87
Last SG, Last State: ( -1.04,  -0.60), ( -0.89,  -0.60)  SG Improvement:-0.42018 

Goal, Curr: (-0.79,  0.89), ( -0.41,  -0.60)   Error: 1.54
Last SG, Last State: ( -0.79,  -0.60), ( -0.60,  -0.60)  SG Improvement:-0.23871 

Goal, Curr: (-0.88,  0.95), ( -0.88,  -0.60)   Error: 1.55
Last SG, Last State: ( -1.13,  -0.60), ( -1.02,  -0.60)  SG Improvement:-0.32043 

Goal, Curr: (-0.99,  0.81), ( -0.21,  -0.60)   Error: 1.61
Last SG, Last State: ( -0.60,  -0.60), ( -0.41,  -0.60)  SG Improvement:-0.22466 

Goal, Curr: (-0.97,  0.89), ( -0.46,  -0.60)   Error: 1.58
Last SG, Last State: ( -0.83,  -0.60), ( -0.65,  -0.60)  SG Improvement:-0.24282 

Goal, Curr: (-0.87,  0.82), ( -0.74,  -0.60)   Error: 1.42
Last SG, Last State: ( -1.05,  -0.60), ( -0.92,  -0.60)  SG Improvement:-0.40229 

Goal, Curr: (-1.12,  0.84), ( -0.99,  -0.60)   Error: 1.44
Last SG, Last State: ( -1.20,  -0.60), ( -1.11,  -0.60)  SG Improvement:-0.26338 

Goal, Curr: (-0.98,  1.00), ( -0.20,  -0.60)   Error: 1.78
Last SG, Last State: ( -0.59,  -0.60), ( -0.39,  -0.60)  SG Improvement:-0.22854 

Goal, Curr: (-1.17,  0.84), ( -0.07,  -0.60)   Error: 1.81
Last SG, Last State: ( -0.47,  -0.59), ( -0.27,  -0.60)  SG Improvement:-0.56834 

Goal, Curr: (-0.87,  0.87), (  0.06,  -0.60)   Error: 1.74
Last SG, Last State: ( -0.34,  -0.60), ( -0.14,  -0.60)  SG Improvement:-0.21403 

Goal, Curr: (-0.94,  0.85), ( -0.39,  -0.60)   Error: 1.55
Last SG, Last State: ( -0.77,  -0.60), ( -0.59,  -0.60)  SG Improvement:-0.23734 

Goal, Curr: (-1.15,  0.84), (  0.06,  -0.60)   Error: 1.89
Last SG, Last State: ( -0.34,  -0.60), ( -0.14,  -0.60)  SG Improvement:-0.21456 

Goal, Curr: (-1.23,  0.79), ( -0.48,  -0.60)   Error: 1.58
Last SG, Last State: ( -0.85,  -0.60), ( -0.67,  -0.60)  SG Improvement:-0.24462 

Goal, Curr: (-0.92,  1.04), ( -1.00,  -0.60)   Error: 1.64
Last SG, Last State: ( -1.20,  -0.60), ( -1.11,  -0.60)  SG Improvement:-0.25700 

Goal, Curr: (-0.89,  1.21), ( -0.65,  -0.60)   Error: 1.83
Last SG, Last State: ( -0.99,  -0.60), ( -0.83,  -0.60)  SG Improvement:-0.46046 

Goal, Curr: (-0.91,  1.18), ( -0.51,  -0.60)   Error: 1.82
Last SG, Last State: ( -0.88,  -0.60), ( -0.70,  -0.60)  SG Improvement:-0.27075 

Goal, Curr: (-0.77,  0.88), ( -0.97,  -0.60)   Error: 1.49
Last SG, Last State: ( -1.18,  -0.60), ( -1.08,  -0.60)  SG Improvement:-0.27248 

Goal, Curr: (-1.01,  1.13), ( -0.64,  -0.60)   Error: 1.77
Last SG, Last State: ( -0.99,  -0.60), ( -0.83,  -0.60)  SG Improvement:-0.46044 

Goal, Curr: (-1.15,  0.86), ( -0.53,  -0.60)   Error: 1.59
Last SG, Last State: ( -0.90,  -0.60), ( -0.72,  -0.60)  SG Improvement:-0.28988 

Goal, Curr: (-1.12,  1.01), (  0.08,  -0.60)   Error: 2.01
Last SG, Last State: ( -0.32,  -0.60), ( -0.12,  -0.60)  SG Improvement:-0.21306 

Goal, Curr: (-0.83,  0.78), ( -0.43,  -0.60)   Error: 1.44
Last SG, Last State: ( -0.80,  -0.60), ( -0.62,  -0.60)  SG Improvement:-0.24030 

Goal, Curr: (-1.01,  0.77), ( -0.99,  -0.60)   Error: 1.37
Last SG, Last State: ( -1.19,  -0.60), ( -1.10,  -0.60)  SG Improvement:-0.26321 

Goal, Curr: (-0.96,  1.02), ( -0.23,  -0.60)   Error: 1.77
Last SG, Last State: ( -0.62,  -0.60), ( -0.42,  -0.60)  SG Improvement:-0.22570 

Goal, Curr: (-1.04,  0.76), ( -0.60,  -0.60)   Error: 1.43
Last SG, Last State: ( -0.95,  -0.60), ( -0.78,  -0.60)  SG Improvement:-0.39943 

Goal, Curr: (-0.83,  0.91), (  0.17,  -0.60)   Error: 1.81
Last SG, Last State: ( -0.23,  -0.60), ( -0.03,  -0.60)  SG Improvement:-0.21092 

Goal, Curr: (-0.88,  1.23), ( -1.05,  -0.60)   Error: 1.84
Last SG, Last State: ( -1.23,  -0.60), ( -1.15,  -0.60)  SG Improvement:-0.23354 

Goal, Curr: (-0.79,  1.19), ( -0.56,  -0.60)   Error: 1.81
