Using device: cpu
no-correct-actual2-per-ridiculously-slow
Initializing with critic LR:  5e-05  actor LR:  1e-08
Initializing with critic LR:  1e-07  actor LR:  5e-08
Goal, Curr: (-0.85,  0.85), ( -0.86,  -0.60)   Error: 1.45
Last SG, Last State: ( -0.96,  -0.60), ( -0.90,  -0.60)  SG Improvement:-0.09904 

Goal, Curr: (-0.81,  1.05), ( -1.21,  -0.60)   Error: 1.69
Last SG, Last State: ( -1.27,  -0.60), ( -1.24,  -0.60)  SG Improvement:-0.06823 

Goal, Curr: (-0.85,  0.80), ( -0.58,  -0.60)   Error: 1.43
Last SG, Last State: ( -0.69,  -0.60), ( -0.63,  -0.60)  SG Improvement:-0.10647 

Goal, Curr: (-0.90,  0.81), ( -0.85,  -0.60)   Error: 1.42
Last SG, Last State: ( -0.94,  -0.60), ( -0.89,  -0.60)  SG Improvement:-0.09465 

Goal, Curr: (-1.22,  0.83), ( -0.82,  -0.60)   Error: 1.48
Last SG, Last State: ( -0.92,  -0.60), ( -0.87,  -0.60)  SG Improvement:-0.10040 

Goal, Curr: (-1.15,  1.13), ( -0.83,  -0.60)   Error: 1.76
Last SG, Last State: ( -0.92,  -0.60), ( -0.87,  -0.60)  SG Improvement:-0.09719 

Goal, Curr: (-0.88,  1.16), ( -1.05,  -0.60)   Error: 1.77
Last SG, Last State: ( -1.14,  -0.60), ( -1.09,  -0.60)  SG Improvement:-0.08745 

Goal, Curr: (-1.17,  1.11), ( -1.16,  -0.60)   Error: 1.71
Last SG, Last State: ( -1.23,  -0.60), ( -1.20,  -0.60)  SG Improvement:-0.07316 

Goal, Curr: (-1.21,  0.80), ( -0.53,  -0.60)   Error: 1.56
Last SG, Last State: ( -0.64,  -0.60), ( -0.58,  -0.60)  SG Improvement:-0.10587 

Goal, Curr: (-0.96,  0.98), ( -0.85,  -0.60)   Error: 1.59
Last SG, Last State: ( -0.94,  -0.60), ( -0.89,  -0.60)  SG Improvement:-0.09912 

Goal, Curr: (-0.83,  1.15), ( -0.51,  -0.60)   Error: 1.78
Last SG, Last State: ( -0.62,  -0.60), ( -0.56,  -0.60)  SG Improvement:-0.10347 

Goal, Curr: (-0.94,  1.21), ( -0.53,  -0.60)   Error: 1.85
Last SG, Last State: ( -0.64,  -0.60), ( -0.58,  -0.60)  SG Improvement:-0.10696 

Goal, Curr: (-1.16,  1.06), ( -1.09,  -0.60)   Error: 1.66
Last SG, Last State: ( -1.17,  -0.60), ( -1.13,  -0.60)  SG Improvement:-0.08068 

Goal, Curr: (-0.77,  0.86), ( -0.74,  -0.60)   Error: 1.46
Last SG, Last State: ( -0.84,  -0.60), ( -0.79,  -0.60)  SG Improvement:-0.10258 

Goal, Curr: (-0.94,  1.09), ( -0.74,  -0.60)   Error: 1.70
Last SG, Last State: ( -0.84,  -0.60), ( -0.79,  -0.60)  SG Improvement:-0.10373 

Goal, Curr: (-1.06,  1.09), ( -0.93,  -0.60)   Error: 1.70
Last SG, Last State: ( -1.02,  -0.60), ( -0.97,  -0.60)  SG Improvement:-0.09544 

Goal, Curr: (-0.81,  0.81), ( -0.52,  -0.60)   Error: 1.44
Last SG, Last State: ( -0.63,  -0.60), ( -0.57,  -0.60)  SG Improvement:-0.10428 

Goal, Curr: (-1.04,  1.23), ( -1.19,  -0.60)   Error: 1.83
Last SG, Last State: ( -1.26,  -0.60), ( -1.22,  -0.60)  SG Improvement:-0.07481 

Goal, Curr: (-0.77,  0.83), ( -0.52,  -0.60)   Error: 1.45
Last SG, Last State: ( -0.63,  -0.60), ( -0.57,  -0.60)  SG Improvement:-0.10440 

Goal, Curr: (-1.01,  0.87), ( -1.06,  -0.60)   Error: 1.47
Last SG, Last State: ( -1.13,  -0.60), ( -1.10,  -0.60)  SG Improvement:-0.07876 

Goal, Curr: (-0.97,  1.09), ( -0.53,  -0.60)   Error: 1.75
Last SG, Last State: ( -0.65,  -0.60), ( -0.59,  -0.60)  SG Improvement:-0.10770 

Goal, Curr: (-1.24,  0.90), ( -0.54,  -0.60)   Error: 1.66
Last SG, Last State: ( -0.65,  -0.60), ( -0.59,  -0.60)  SG Improvement:-0.10717 

Goal, Curr: (-0.77,  1.17), ( -1.12,  -0.60)   Error: 1.81
Last SG, Last State: ( -1.20,  -0.60), ( -1.16,  -0.60)  SG Improvement:-0.07941 

Goal, Curr: (-0.97,  0.78), ( -1.00,  -0.60)   Error: 1.38
Last SG, Last State: ( -1.08,  -0.60), ( -1.04,  -0.60)  SG Improvement:-0.08544 

Goal, Curr: (-0.79,  1.03), ( -0.71,  -0.60)   Error: 1.64
Last SG, Last State: ( -0.81,  -0.60), ( -0.75,  -0.60)  SG Improvement:-0.10539 

Goal, Curr: (-0.94,  0.76), ( -0.93,  -0.60)   Error: 1.36
Last SG, Last State: ( -1.03,  -0.60), ( -0.98,  -0.60)  SG Improvement:-0.09504 

Goal, Curr: (-1.00,  0.91), ( -0.93,  -0.60)   Error: 1.52
Last SG, Last State: ( -1.02,  -0.60), ( -0.97,  -0.60)  SG Improvement:-0.09432 

Goal, Curr: (-1.02,  0.79), ( -0.97,  -0.60)   Error: 1.39
Last SG, Last State: ( -1.06,  -0.60), ( -1.02,  -0.60)  SG Improvement:-0.09154 

Goal, Curr: (-0.81,  0.91), ( -1.20,  -0.60)   Error: 1.56
Last SG, Last State: ( -1.27,  -0.60), ( -1.23,  -0.60)  SG Improvement:-0.06937 

Goal, Curr: (-0.95,  0.92), ( -0.63,  -0.60)   Error: 1.55
Last SG, Last State: ( -0.73,  -0.60), ( -0.68,  -0.60)  SG Improvement:-0.10479 

Goal, Curr: (-0.95,  0.87), ( -0.73,  -0.60)   Error: 1.49
Last SG, Last State: ( -0.83,  -0.60), ( -0.78,  -0.60)  SG Improvement:-0.10480 

Goal, Curr: (-1.21,  0.76), ( -0.52,  -0.60)   Error: 1.52
Last SG, Last State: ( -0.62,  -0.60), ( -0.57,  -0.60)  SG Improvement:-0.10337 

Goal, Curr: (-0.91,  0.80), ( -1.10,  -0.60)   Error: 1.41
Last SG, Last State: ( -1.18,  -0.60), ( -1.14,  -0.60)  SG Improvement:-0.08052 

Goal, Curr: (-1.04,  0.86), ( -0.89,  -0.60)   Error: 1.47
Last SG, Last State: ( -0.98,  -0.60), ( -0.93,  -0.60)  SG Improvement:-0.09712 

Goal, Curr: (-0.98,  1.05), ( -0.55,  -0.60)   Error: 1.71
Last SG, Last State: ( -0.66,  -0.60), ( -0.60,  -0.60)  SG Improvement:-0.10740 

Goal, Curr: (-1.23,  1.02), ( -1.32,  -0.60)   Error: 1.62
Last SG, Last State: ( -1.36,  -0.60), ( -1.34,  -0.60)  SG Improvement:-0.06762 

Goal, Curr: (-0.97,  0.92), ( -0.51,  -0.60)   Error: 1.59
Last SG, Last State: ( -0.61,  -0.60), ( -0.56,  -0.60)  SG Improvement:-0.10192 

Goal, Curr: (-1.12,  0.81), ( -0.82,  -0.60)   Error: 1.44
Last SG, Last State: ( -0.91,  -0.60), ( -0.86,  -0.60)  SG Improvement:-0.10090 

Goal, Curr: (-0.91,  1.08), ( -0.97,  -0.60)   Error: 1.68
Last SG, Last State: ( -1.05,  -0.60), ( -1.01,  -0.60)  SG Improvement:-0.08938 

Goal, Curr: (-0.95,  0.80), ( -1.30,  -0.60)   Error: 1.44
Last SG, Last State: ( -1.34,  -0.60), ( -1.32,  -0.60)  SG Improvement:-0.06194 

Goal, Curr: (-1.07,  0.95), ( -0.97,  -0.60)   Error: 1.56
Last SG, Last State: ( -1.06,  -0.60), ( -1.01,  -0.60)  SG Improvement:-0.09220 

Goal, Curr: (-0.86,  0.90), ( -0.98,  -0.60)   Error: 1.50
Last SG, Last State: ( -1.06,  -0.60), ( -1.02,  -0.60)  SG Improvement:-0.08672 

Goal, Curr: (-1.06,  1.20), ( -1.21,  -0.60)   Error: 1.81
Last SG, Last State: ( -1.27,  -0.60), ( -1.24,  -0.60)  SG Improvement:-0.06636 

Goal, Curr: (-0.87,  1.13), ( -0.76,  -0.60)   Error: 1.74
Last SG, Last State: ( -0.86,  -0.60), ( -0.80,  -0.60)  SG Improvement:-0.10362 

Goal, Curr: (-1.01,  0.97), ( -0.99,  -0.60)   Error: 1.58
Last SG, Last State: ( -1.07,  -0.60), ( -1.03,  -0.60)  SG Improvement:-0.09054 

Goal, Curr: (-1.21,  1.16), ( -1.05,  -0.60)   Error: 1.77
Last SG, Last State: ( -1.13,  -0.60), ( -1.09,  -0.60)  SG Improvement:-0.08302 

episode:00200, mean:5.60, std:0.61, median:5.64, success:0.00
Goal, Curr: (-1.10,  1.13), ( -1.29,  -0.76)   Error: 1.90
Last SG, Last State: ( -1.36,  -0.67), ( -1.32,  -0.71)  SG Improvement:-0.12366 

Goal, Curr: (-1.23,  1.09), ( -1.33,  -1.10)   Error: 2.19
Last SG, Last State: ( -1.39,  -0.90), ( -1.37,  -0.99)  SG Improvement:-0.25622 

Goal, Curr: (-0.86,  0.97), ( -1.18,  -0.85)   Error: 1.85
Last SG, Last State: ( -1.28,  -0.79), ( -1.24,  -0.82)  SG Improvement:-0.10581 

Goal, Curr: (-1.01,  0.86), ( -1.29,  -0.77)   Error: 1.65
Last SG, Last State: ( -1.35,  -0.68), ( -1.32,  -0.72)  SG Improvement:-0.12759 

