Using device: cpu
gc-4.0-fin3
Last SG, Last State: ( -0.60,  -1.49), (  1.40,   0.53)  SG Improvement:-0.06741 

Goal, Curr: (-0.77,  0.92), (  1.40,   0.11)   Error: 2.32
Last SG, Last State: ( -0.60,  -2.07), (  1.40,   0.02)  SG Improvement:-0.00494 

Goal, Curr: (-1.01,  1.06), (  1.40,   0.37)   Error: 2.51
Last SG, Last State: ( -0.60,  -1.79), (  1.40,   0.29)  SG Improvement:-0.00490 

Goal, Curr: (-0.80,  0.92), (  1.40,   0.36)   Error: 2.27
Last SG, Last State: ( -0.60,  -1.81), (  1.40,   0.27)  SG Improvement:-0.00500 

Goal, Curr: (-0.97,  1.20), (  1.40,   0.49)   Error: 2.48
Last SG, Last State: ( -0.60,  -1.66), (  1.40,   0.42)  SG Improvement:-0.00442 

Goal, Curr: (-0.80,  1.16), (  1.40,   0.06)   Error: 2.45
Last SG, Last State: ( -0.60,  -2.13), (  1.40,  -0.03)  SG Improvement:-0.00481 

Goal, Curr: (-0.92,  1.16), (  1.40,   0.24)   Error: 2.50
Last SG, Last State: ( -0.60,  -1.93), (  1.40,   0.16)  SG Improvement:-0.00513 

Goal, Curr: (-1.24,  1.09), (  1.40,   0.25)   Error: 2.76
Last SG, Last State: ( -0.60,  -1.93), (  1.40,   0.16)  SG Improvement:-0.00513 

Goal, Curr: (-0.84,  1.00), (  1.40,   0.17)   Error: 2.39
Last SG, Last State: ( -0.60,  -2.01), (  1.40,   0.09)  SG Improvement:-0.00507 

Goal, Curr: (-0.99,  1.04), (  1.40,   0.48)   Error: 2.45
Last SG, Last State: ( -0.60,  -1.67), (  1.40,   0.41)  SG Improvement:-0.00443 

Goal, Curr: (-0.79,  1.14), (  1.40,   0.43)   Error: 2.30
Last SG, Last State: ( -0.60,  -1.80), (  1.40,   0.32)  SG Improvement:-0.00655 

Goal, Curr: (-0.80,  1.02), (  1.40,   0.12)   Error: 2.37
