Using device: cpu
no-correct-per-ridiculously-slow-low-learner
Initializing with critic LR:  0.0005  actor LR:  1e-06
Initializing with critic LR:  1e-07  actor LR:  5e-08
Goal, Curr: (-0.77,  1.20), ( -0.18,  -1.40)   Error: 2.67
Last SG, Last State: ( -0.57,  -1.47), ( -0.38,  -1.40)  SG Improvement:-0.18117 

Goal, Curr: (-1.14,  0.92), ( -1.04,  -1.40)   Error: 2.33
Last SG, Last State: ( -1.25,  -1.49), ( -1.16,  -1.40)  SG Improvement:-0.24420 

Goal, Curr: (-1.02,  1.11), ( -1.10,  -1.40)   Error: 2.51
Last SG, Last State: ( -1.29,  -1.49), ( -1.21,  -1.40)  SG Improvement:-0.24309 

Goal, Curr: (-1.02,  1.18), ( -0.37,  -1.40)   Error: 2.66
Last SG, Last State: ( -0.74,  -1.47), ( -0.56,  -1.40)  SG Improvement:-0.19307 

Goal, Curr: (-1.15,  1.14), ( -0.53,  -1.40)   Error: 2.62
Last SG, Last State: ( -0.87,  -1.48), ( -0.71,  -1.40)  SG Improvement:-0.20603 

Goal, Curr: (-1.18,  1.22), ( -1.18,  -1.40)   Error: 2.62
Last SG, Last State: ( -1.33,  -1.50), ( -1.27,  -1.40)  SG Improvement:-0.23650 

Goal, Curr: (-0.82,  1.21), ( -0.08,  -1.40)   Error: 2.71
Last SG, Last State: ( -0.47,  -1.47), ( -0.28,  -1.40)  SG Improvement:-0.17312 

Goal, Curr: (-1.15,  1.23), ( -0.41,  -1.40)   Error: 2.73
Last SG, Last State: ( -0.77,  -1.48), ( -0.59,  -1.40)  SG Improvement:-0.19325 

Goal, Curr: (-0.96,  0.88), ( -0.16,  -1.40)   Error: 2.42
Last SG, Last State: ( -0.55,  -1.46), ( -0.36,  -1.40)  SG Improvement:-0.18070 

Goal, Curr: (-0.86,  1.21), ( -0.59,  -1.40)   Error: 2.62
Last SG, Last State: ( -0.92,  -1.47), ( -0.77,  -1.40)  SG Improvement:-0.21498 

Goal, Curr: (-1.03,  1.20), ( -0.20,  -1.40)   Error: 2.73
Last SG, Last State: ( -0.58,  -1.47), ( -0.39,  -1.40)  SG Improvement:-0.17818 

Goal, Curr: (-1.21,  0.80), ( -1.07,  -1.40)   Error: 2.20
Last SG, Last State: ( -1.27,  -1.49), ( -1.19,  -1.40)  SG Improvement:-0.24544 

