Using device: cpu
gc-4.0-12-2
Log radii:  [ 0.9207822  1.1386936 -1.3862944  1.0425466 -1.1312947 -1.2293634]
Adjusted log radii:  [1.91078222 2.12869358 1.60370564 2.53254676 1.85870528 1.26063657]
Goal, Curr: (-0.76,  0.97), ( -1.40,  -0.88)   Error: 1.96
Last SG, Last State: ( -3.40,   1.05), ( -1.40,  -0.88)  SG Improvement:0.00038 

Goal, Curr: (-0.91,  0.95), ( -1.40,  -0.99)   Error: 2.01
Last SG, Last State: ( -3.40,   0.93), ( -1.40,  -1.00)  SG Improvement:0.00019 

Goal, Curr: (-1.14,  1.08), ( -1.40,  -0.60)   Error: 1.71
Last SG, Last State: ( -3.40,   1.35), ( -1.40,  -0.60)  SG Improvement:-0.00000 

Goal, Curr: (-0.87,  1.24), ( -1.40,  -0.60)   Error: 1.92
Last SG, Last State: ( -3.40,   1.35), ( -1.40,  -0.60)  SG Improvement:0.00034 

Goal, Curr: (-0.80,  1.22), ( -1.40,  -0.60)   Error: 1.91
Last SG, Last State: ( -3.40,   1.35), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.78,  0.80), ( -1.40,  -0.60)   Error: 1.53
Last SG, Last State: ( -3.40,   1.34), ( -1.40,  -0.60)  SG Improvement:0.00155 

Goal, Curr: (-1.07,  1.09), ( -1.40,  -0.87)   Error: 1.99
Last SG, Last State: ( -3.40,   1.06), ( -1.40,  -0.88)  SG Improvement:0.00188 

Goal, Curr: (-1.00,  1.04), ( -1.40,  -0.60)   Error: 1.69
Last SG, Last State: ( -3.40,   1.35), ( -1.40,  -0.60)  SG Improvement:-0.00000 

Goal, Curr: (-1.16,  0.84), ( -1.40,  -0.60)   Error: 1.47
Last SG, Last State: ( -3.40,   1.35), ( -1.40,  -0.60)  SG Improvement:-0.00000 

Goal, Curr: (-0.95,  1.02), ( -1.40,  -0.60)   Error: 1.68
Last SG, Last State: ( -3.40,   1.35), ( -1.40,  -0.60)  SG Improvement:0.00009 

Goal, Curr: (-0.88,  0.81), ( -1.40,  -0.99)   Error: 1.87
Last SG, Last State: ( -3.40,   0.94), ( -1.40,  -0.99)  SG Improvement:0.00007 

Goal, Curr: (-0.98,  1.15), ( -1.40,  -0.60)   Error: 1.80
Last SG, Last State: ( -3.40,   1.35), ( -1.40,  -0.60)  SG Improvement:0.00028 

Goal, Curr: (-0.91,  1.02), ( -1.40,  -0.60)   Error: 1.69
Last SG, Last State: ( -3.40,   1.35), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.10,  1.11), ( -1.40,  -0.60)   Error: 1.73
Last SG, Last State: ( -3.40,   1.35), ( -1.40,  -0.60)  SG Improvement:0.00006 

Goal, Curr: (-0.78,  1.13), ( -1.40,  -0.75)   Error: 1.98
Last SG, Last State: ( -3.40,   1.18), ( -1.40,  -0.76)  SG Improvement:0.00188 

Goal, Curr: (-0.83,  1.14), ( -1.40,  -1.25)   Error: 2.45
Last SG, Last State: ( -3.40,   0.68), ( -1.40,  -1.25)  SG Improvement:-0.00043 

Goal, Curr: (-0.99,  1.04), ( -1.40,  -0.60)   Error: 1.69
Last SG, Last State: ( -3.40,   1.35), ( -1.40,  -0.60)  SG Improvement:-0.00000 

Goal, Curr: (-1.18,  1.12), ( -1.40,  -0.60)   Error: 1.73
